Datetime,Floor,Room_ID,Temp_C,Humidity_%,CO2_ppm,Power_Usage_kWh,Occupancy,Light_Intensity,Air_Quality_Index
2025-01-01 00:00:00,1,A101,25.993428306022466,54.308678494144075,652.3844269050346,4.061514928204012,6,374.15865780908143,47.88996497973143
2025-01-01 01:00:00,1,A101,20.978074220510745,52.53598287518286,639.628987520123,2.8354076665347203,4,350.95609329882427,35.726589280331986
2025-01-01 02:00:00,1,A101,23.857239668491715,50.37958581126448,489.37254936531997,3.775184841198451,0,178.04470924719885,45.625410955827284
2025-01-01 03:00:00,1,A101,24.497912063828448,54.18066441752615,546.18351534227,4.0434904790236,3,332.78086377374086,45.01227222962893
2025-01-01 04:00:00,1,A101,22.698012845155393,56.87849009172836,589.9680655040597,3.1541531251033614,3,398.9596317257502,35.79021756360222
2025-01-01 05:00:00,1,A101,27.260456387794072,56.865594573647094,600.6763524717722,2.7206148790374587,1,256.7440443038679,55.987637622094226
2025-01-01 06:00:00,1,A101,30.55662608310488,60.96819862141159,630.9319158026931,3.740880519474305,7,479.27660622491226,70.7026217805969
2025-01-01 07:00:00,1,A101,25.52697208046042,63.20885558007038,643.0408150074319,3.342961735815407,8,417.82900383203577,44.917725284009336
2025-01-01 08:00:00,1,A101,24.912926395053002,53.62349544876803,541.8466602706744,2.902184503931493,2,391.5499761247975,49.90071998839374
2025-01-01 09:00:00,1,A101,23.321564953554724,53.45393812074393,636.5631715701782,3.7877725635611794,1,307.712615628648,39.160422754480685
2025-01-01 10:00:00,1,A101,27.424344684266252,61.167484022715286,541.2922356527972,3.6189764716124446,2,288.1085061742259,49.88259299991955
2025-01-01 11:00:00,1,A101,26.945927067511576,58.977977319479706,694.7717126441737,3.46909062599666,6,412.4733070870109,46.01178290199002
2025-01-01 12:00:00,1,A101,25.300978156221188,54.43289374326803,751.6764110306062,2.7874545555945676,3,349.0164056081244,49.90428328030717
2025-01-01 13:00:00,1,A101,27.955788089483033,52.40864890863176,579.5753198553406,3.0491214782077316,1,246.6516057410237,56.17047673505028
2025-01-01 14:00:00,1,A101,24.78948573199764,50.223267776411475,599.2617682797267,2.600629559197071,9,463.61874083609985,41.263598875550905
2025-01-01 15:00:00,1,A101,24.48363040292732,57.30477807710147,552.5305013383495,2.7904636073159645,5,267.2411976218265,46.22015553868197
2025-01-01 16:00:00,1,A101,24.208967096839412,53.55431571765029,642.6468163266754,3.216969545824467,5,415.0661400474817,37.55181775201179
